Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0038525, 0, 0, 1, 0, 0, 1, 1, 1
0.0038541, 0, 0, 1, 0, 0, 0, 1, 1
0.0038665, 0, 0, 0, 0, 0, 0, 1, 1
0.0038673, 0, 0, 0, 1, 0, 0, 1, 1
0.0038823, 0, 0, 0, 0, 0, 0, 1, 1
0.0038847, 0, 0, 0, 0, 0, 1, 1, 1
0.0038972, 0, 0, 1, 0, 0, 1, 1, 1
0.0038980, 0, 0, 1, 1, 0, 1, 1, 1
0.0039128, 0, 0, 1, 0, 0, 1, 1, 1
0.0039151, 0, 0, 1, 0, 0, 0, 1, 1
0.0039275, 0, 0, 0, 0, 0, 0, 1, 1
0.0039282, 0, 0, 0, 1, 0, 0, 1, 1
0.0039433, 0, 0, 0, 0, 0, 0, 1, 1
0.0039457, 0, 0, 0, 0, 0, 1, 1, 1
0.0039580, 0, 0, 1, 0, 0, 1, 1, 1
0.0039587, 0, 0, 1, 1, 0, 1, 1, 1
0.0039739, 0, 0, 1, 0, 0, 1, 1, 1
0.0039761, 0, 0, 1, 0, 0, 0, 1, 1
0.0039885, 0, 0, 0, 0, 0, 0, 1, 1
0.0039892, 0, 0, 0, 1, 0, 0, 1, 1
0.0040046, 0, 0, 0, 0, 0, 0, 1, 1
0.0040067, 0, 0, 0, 0, 0, 1, 1, 1
0.0040197, 0, 0, 1, 0, 0, 1, 1, 1
0.0040204, 0, 0, 1, 1, 0, 1, 1, 1
0.0040348, 0, 0, 1, 0, 0, 1, 1, 1
0.0040372, 0, 0, 1, 0, 0, 0, 1, 1
0.0040495, 0, 0, 0, 0, 0, 0, 1, 1
0.0040502, 0, 0, 0, 1, 0, 0, 1, 1
0.0040653, 0, 0, 0, 0, 0, 0, 1, 1
0.0040678, 0, 0, 0, 0, 0, 1, 1, 1
0.0040800, 0, 0, 1, 0, 0, 1, 1, 1
0.0040807, 0, 0, 1, 1, 0, 1, 1, 1
0.0040958, 0, 0, 1, 0, 0, 1, 1, 1
0.0040982, 0, 0, 1, 0, 0, 0, 1, 1
0.0041105, 0, 0, 0, 0, 0, 0, 1, 1
0.0041112, 0, 0, 0, 1, 0, 0, 1, 1
0.0041123, 0, 0, 0, 1, 1, 0, 1, 1
0.0041269, 0, 0, 0, 0, 1, 0, 1, 1
0.0041288, 0, 0, 0, 0, 1, 1, 1, 1
0.0041410, 0, 0, 1, 0, 1, 1, 1, 1
0.0041417, 0, 0, 1, 1, 1, 1, 1, 1
0.0041568, 0, 0, 1, 0, 1, 1, 1, 1
0.0041593, 0, 0, 1, 0, 1, 0, 1, 1
0.0041715, 0, 0, 0, 0, 1, 0, 1, 1
0.0041722, 0, 0, 0, 1, 1, 0, 1, 1
0.0041873, 0, 0, 0, 0, 1, 0, 1, 1
0.0041899, 0, 0, 0, 0, 1, 1, 1, 1
0.0042020, 0, 0, 1, 0, 1, 1, 1, 1
