Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0192746, 0, 0, 1, 1, 1, 0, 1, 0
0.0192747, 0, 0, 1, 1, 1, 1, 1, 0
0.0192899, 0, 0, 1, 1, 1, 1, 0, 0
0.0193028, 0, 0, 0, 1, 1, 1, 0, 0
0.0193051, 0, 0, 0, 1, 1, 0, 0, 0
0.0193052, 0, 0, 0, 1, 1, 0, 1, 0
0.0193204, 0, 0, 0, 1, 1, 0, 0, 0
0.0193335, 0, 0, 1, 1, 1, 0, 0, 0
0.0193357, 0, 0, 1, 1, 1, 1, 1, 0
0.0193509, 0, 0, 1, 1, 1, 1, 0, 0
0.0193634, 0, 0, 0, 1, 1, 1, 0, 0
0.0193662, 0, 0, 0, 1, 1, 0, 1, 0
0.0193814, 0, 0, 0, 1, 1, 0, 0, 0
0.0193939, 0, 0, 1, 1, 1, 0, 0, 0
0.0193967, 0, 0, 1, 1, 1, 0, 1, 0
0.0193968, 0, 0, 1, 1, 1, 1, 1, 0
0.0194120, 0, 0, 1, 1, 1, 1, 0, 0
0.0194244, 0, 0, 0, 1, 1, 1, 0, 0
0.0194272, 0, 0, 0, 1, 1, 0, 0, 0
0.0194273, 0, 0, 0, 1, 1, 0, 1, 0
0.0194425, 0, 0, 0, 1, 1, 0, 0, 0
0.0194551, 0, 0, 1, 1, 1, 0, 0, 0
0.0194577, 0, 0, 1, 1, 1, 0, 1, 0
0.0194578, 0, 0, 1, 1, 1, 1, 1, 0
0.0194730, 0, 0, 1, 1, 1, 1, 0, 0
0.0194858, 0, 0, 0, 1, 1, 1, 0, 0
0.0194882, 0, 0, 0, 1, 1, 0, 0, 0
0.0194883, 0, 0, 0, 1, 1, 0, 1, 0
0.0195035, 0, 0, 0, 1, 1, 0, 0, 0
0.0195164, 0, 0, 1, 1, 1, 0, 0, 0
0.0195188, 0, 0, 1, 1, 1, 1, 1, 0
0.0195340, 0, 0, 1, 1, 1, 1, 0, 0
0.0195471, 0, 0, 0, 1, 1, 1, 0, 0
0.0195493, 0, 0, 0, 1, 1, 0, 1, 0
0.0195646, 0, 0, 0, 1, 1, 0, 0, 0
0.0195722, 0, 0, 0, 1, 1, 0, 0, 1
0.0195769, 0, 0, 1, 1, 1, 0, 0, 1
0.0195798, 0, 0, 1, 1, 1, 0, 1, 1
0.0195799, 0, 0, 1, 1, 1, 1, 1, 1
0.0195951, 0, 0, 1, 1, 1, 1, 0, 1
0.0196027, 0, 0, 1, 1, 1, 1, 0, 0
0.0196075, 0, 0, 0, 1, 1, 1, 0, 0
0.0196103, 0, 0, 0, 1, 1, 0, 0, 0
0.0196104, 0, 0, 0, 1, 1, 0, 1, 0
0.0196256, 0, 0, 0, 1, 1, 0, 0, 0
0.0196379, 0, 0, 1, 1, 1, 0, 0, 0
0.0196409, 0, 0, 1, 1, 1, 1, 1, 0
0.0196561, 0, 0, 1, 1, 1, 1, 0, 0
0.0196684, 0, 0, 0, 1, 1, 1, 0, 0
